Step	Value
2400	2.9325225353241
3600	3.58848309516907
4800	3.9879252910614
6000	4.61106538772583
7200	5.60692739486694
8400	6.8328070640564
9600	7.77377462387085
10800	8.47321319580078
12000	8.97576236724854
13200	9.20739841461182
14400	9.71184349060059
15600	10.2302513122559
16800	10.8586091995239
18000	11.4480495452881
19200	11.881760597229
20400	12.3744258880615
21600	12.8302688598633
22800	13.2907438278198
24000	13.8363876342773
25200	14.084358215332
26400	14.2463626861572
27600	14.5428743362427
28800	14.8115854263306
30000	15.459246635437
31200	16.0751800537109
32400	16.616527557373
33600	17.2084293365479
34800	17.7406425476074
36000	18.214916229248
37200	18.7613754272461
38400	19.2494106292725
39600	19.5444068908691
40800	19.9473247528076
42000	20.092679977417
43200	20.283805847168
44400	20.4188022613525
45600	20.5780277252197
46800	20.6801929473877
48000	20.7244415283203
49200	20.6951713562012
50400	20.6613426208496
51600	20.5469436645508
52800	20.3737754821777
54000	20.316873550415
55200	20.1760444641113
56400	20.1250057220459
57600	20.3298530578613
58800	20.4387588500977
60000	20.4872665405273
61200	20.6789836883545
62400	20.6789836883545
63600	20.8061237335205
64800	20.9516620635986
66000	21.0815696716309
67200	21.2682437896729
68400	21.2448997497559
69600	21.1935939788818
70800	21.2281341552734
72000	21.2038326263428
73200	21.310375213623
74400	21.4335880279541
75600	21.5221824645996
76800	21.6810817718506
78000	21.8137283325195
79200	21.8866996765137
80400	21.9570198059082
81600	21.9651679992676
82800	21.9565658569336
84000	21.9161815643311
85200	21.8800373077393
86400	21.8431396484375
87600	21.8711471557617
88800	21.8771343231201
90000	21.9779720306396
91200	22.0732574462891
92400	22.1462421417236
93600	22.1701831817627
94800	22.1380100250244
96000	22.1038494110107
97200	22.0448551177979
98400	21.9986019134521
99600	21.9722900390625
100800	22.0524234771729
