Step	Value
19	0.0300993341952562
48	0.0111460294574499
63	0.0218306574970484
64	0.0192684978246689
90	0.019987914711237
104	0.0100494865328074
108	0.0345867276191711
129	0.0216810666024685
165	0.0193969942629337
173	0.0233127251267433
192	0.018102964386344
204	0.0225835777819157
245	0.0153597416356206
260	0.0210804715752602
283	0.038351621478796
286	0.0456020310521126
320	0.0376860424876213
367	0.0180240292102098
387	0.0375149250030518
403	0.0224215406924486
416	0.0344811752438545
438	0.0316248536109924
466	0.0260806828737259
476	0.0222969762980938
482	0.0396956317126751
511	0.0344449877738953
534	0.0228083077818155
539	0.0135117284953594
541	0.03093471378088
557	0.0336498655378819
563	0.0175081752240658
597	0.0265309326350689
638	0.0248001329600811
644	0.0268196798861027
645	0.0285448674112558
659	0.0318379998207092
676	0.0304047204554081
722	0.0216788612306118
765	0.0237052924931049
776	0.0334712043404579
805	0.0432859063148499
858	0.04228700324893
867	0.026130061596632
887	0.0387585572898388
943	0.0418243184685707
1000	0.0500560030341148
1016	0.0237722750753164
1027	0.0276609919965267
1038	0.0390877537429333
1057	0.0368478149175644
1072	0.0191809553653002
1110	0.0233550854027271
1112	0.0356185398995876
1126	0.0208823345601559
1133	0.0280897114425898
1152	0.0358285903930664
1153	0.0578288361430168
1165	0.0158902332186699
1175	0.0258869659155607
1177	0.039297491312027
1185	0.0306137129664421
1219	0.0318894684314728
1253	0.0336557477712631
1255	0.0298946928232908
1258	0.0395797193050385
1262	0.029231820255518
1268	0.0226085782051086
1272	0.0314132831990719
1326	0.0487787015736103
1346	0.0518200658261776
1376	0.0419761948287487
1377	0.0330250114202499
1418	0.0375703759491444
1458	0.0300273671746254
1459	0.0378924608230591
1495	0.0354065671563148
1511	0.0201593078672886
1514	0.0220650993287563
1549	0.0497149601578712
1552	0.0384107530117035
1566	0.0349875167012215
1569	0.0254532843828201
1586	0.0371629968285561
1597	0.0409209690988064
1628	0.0448597222566605
1636	0.0341072380542755
1671	0.0269093383103609
1686	0.0286901611834764
1703	0.0537353679537773
1705	0.0351792275905609
1712	0.0358256101608276
1778	0.0320176221430302
1848	0.0301225520670414
1861	0.0246492549777031
1868	0.0433677360415459
1900	0.0231125056743622
1903	0.0335312187671661
1910	0.0363848507404327
1941	0.0248726643621922
1961	0.0413424372673035
1962	0.0478999465703964
1980	0.0320417582988739
2071	0.0418626479804516
2080	0.03754061460495
2090	0.0280512925237417
2101	0.037777341902256
2210	0.0395298823714256
2240	0.0443217568099499
