Step	Value
4228	4.16744114772882E-06
4258	2.98909139928583E-06
4319	3.60327430826146E-06
4329	3.08302310259023E-06
4396	3.00910187434056E-06
4444	2.64323603005323E-06
4455	2.12307145375235E-06
4526	2.76515106634179E-06
4536	4.11190467275446E-06
4540	3.49146830558311E-06
4565	2.22817402573128E-06
4613	2.26127394853393E-06
4650	2.64416758000152E-06
4687	2.82637074633385E-06
4691	2.5695153453853E-06
4693	3.35958679897885E-06
4699	2.75071352007217E-06
4708	2.80300992017146E-06
4731	2.9056041057629E-06
4777	2.9913230719103E-06
4778	2.23124789044959E-06
4808	2.99583894047828E-06
4831	1.96356813830789E-06
4833	2.73836167252739E-06
4836	3.05646199194598E-06
4837	2.98012196253694E-06
4845	2.83032341030776E-06
4883	4.39357336290414E-06
4911	2.67752329818904E-06
4930	2.30082855523506E-06
4941	2.7015844352718E-06
4950	1.95868778973818E-06
4981	2.66271536020213E-06
4992	2.89474928649724E-06
5048	2.80138601738145E-06
5067	2.09088852898276E-06
5080	2.46445824814145E-06
5089	1.9287297163828E-06
5091	2.39191513173864E-06
5133	2.72374086307536E-06
5137	2.21052232518559E-06
5141	2.58294812738313E-06
5152	3.69449298887048E-06
5155	2.68161852545745E-06
5156	2.51181768362585E-06
5188	2.39990345107799E-06
5201	2.29557349484821E-06
5226	2.88324145003571E-06
5239	2.43293857238314E-06
5254	2.14294959732797E-06
5263	2.85554392576159E-06
5266	2.19040430238238E-06
5296	1.89393358596135E-06
5320	2.94154210678244E-06
5323	1.85495537152747E-06
5325	2.78877814707812E-06
5329	1.88877106666041E-06
5363	2.21831851376919E-06
5371	1.87265084150567E-06
5404	1.95895199794904E-06
5446	2.30144610213756E-06
5455	2.0101006157347E-06
5460	2.82761720882263E-06
5510	2.60780575445096E-06
5522	3.27243651554454E-06
5568	3.04621244140435E-06
5668	2.28820772463223E-06
5731	1.79518008280866E-06
5759	1.93834512174362E-06
5782	2.6700599846663E-06
5833	2.18635159399128E-06
5867	1.73818784787727E-06
5880	2.33200853472226E-06
5949	3.22649611916859E-06
5957	2.7944643079536E-06
5965	2.18008563024341E-06
5982	2.67964060185477E-06
5998	2.52675272349734E-06
6010	1.93400273929001E-06
6046	2.1895846202824E-06
6054	2.40332769863016E-06
6079	1.5033026556921E-06
6112	1.98804400497465E-06
6114	1.94826498045586E-06
6134	2.82624705505441E-06
6139	2.82129326478753E-06
6141	2.54675569522078E-06
6143	2.45159799305839E-06
6226	2.90591015073005E-06
6244	1.88476701623586E-06
6280	1.72601176018361E-06
6282	2.17632123167277E-06
6301	2.00217436940875E-06
6333	1.66772713328101E-06
6335	2.12253507925197E-06
6359	1.87537352758227E-06
6360	1.88926730970707E-06
6365	2.7536566449271E-06
6370	2.43671411226387E-06
6474	2.23696179091348E-06
6492	2.21993923332775E-06
6529	1.91153048945125E-06
6532	2.07559378395672E-06
6547	1.91680260286375E-06
6552	1.58217585521925E-06
6565	1.66826430358924E-06
6570	1.85442547717685E-06
6586	1.50752748595551E-06
6591	1.60375725499762E-06
6600	2.02070282284694E-06
6616	1.64296466209635E-06
6650	1.37999813887291E-06
6674	2.03246145247249E-06
6721	1.32090553961461E-06
6731	1.95019811144448E-06
6735	2.18424111153581E-06
6751	2.26982820095145E-06
6762	2.15046611629077E-06
6803	1.78122843408346E-06
6843	1.79130142896611E-06
6851	1.93708092410816E-06
6860	2.010410753428E-06
6876	1.45088938552362E-06
6917	1.75310867689404E-06
6920	1.81262328169396E-06
6931	1.98476163859596E-06
6976	1.56168607645668E-06
6992	1.80664517301921E-06
6997	1.47797504723712E-06
