Step	Value
2400	2.6611156463623
3600	3.08724093437195
4800	3.38908171653748
6000	3.82808995246887
7200	4.49053382873535
8400	5.3088264465332
9600	6.20859336853027
10800	6.95498943328857
12000	7.77284526824951
13200	8.30204010009766
14400	8.90752601623535
15600	9.20542716979981
16800	9.35776138305664
18000	9.69242477416992
19200	9.91970443725586
20400	10.2920007705688
21600	10.8152160644531
22800	11.1757669448853
24000	11.4072694778442
25200	11.5855274200439
26400	11.8438491821289
27600	12.1083250045776
28800	12.6220426559448
30000	13.1004343032837
31200	13.4977798461914
32400	13.9044809341431
33600	13.9361410140991
34800	13.970067024231
36000	14.2496566772461
37200	14.5640697479248
38400	14.9611473083496
39600	15.511944770813
40800	15.7779684066772
42000	15.8279800415039
43200	15.9429063796997
44400	15.9489126205444
45600	16.0346641540527
46800	16.1641635894775
48000	16.4023265838623
49200	16.4368438720703
50400	16.8715190887451
51600	17.0831623077393
52800	17.2142429351807
54000	17.3616409301758
55200	17.5827102661133
56400	17.8457546234131
57600	18.0556049346924
58800	18.2746047973633
60000	18.4037570953369
61200	18.6087493896484
62400	18.6087493896484
63600	18.8054790496826
64800	19.0697040557861
66000	19.3242015838623
67200	19.4117107391357
68400	19.6018390655518
69600	19.8298854827881
70800	19.9503307342529
72000	20.0081996917725
73200	20.1215744018555
74400	20.1174602508545
75600	20.2031764984131
76800	20.2342739105225
78000	20.3029861450195
79200	20.2787799835205
80400	20.1822357177734
81600	20.2490673065186
82800	20.120584487915
84000	20.1726951599121
85200	20.2743911743164
86400	20.3422470092773
87600	20.3679714202881
88800	20.489501953125
90000	20.433910369873
91200	20.4724578857422
92400	20.5431575775146
93600	20.4924507141113
94800	20.5249176025391
96000	20.4269466400146
97200	20.4962005615234
98400	20.5262966156006
99600	20.5177516937256
100800	20.5439033508301
